Wall time,Step,Value
1733658797.03388,49,0.913202702999115
1733658806.1660364,99,0.8593497276306152
1733658815.2211332,149,0.5883968472480774
1733658824.742942,199,0.49966567754745483
1733658834.0114014,249,0.44949936866760254
1733658843.1064024,299,0.6092103719711304
1733658852.1983666,349,0.5733165740966797
1733658861.2917204,399,0.4734576344490051
1733658870.3771596,449,0.6216809749603271
1733658879.4600933,499,0.7287067770957947
1733658888.5489914,549,0.43327873945236206
1733658897.637337,599,0.6585159301757812
1733658906.7224488,649,0.7138603925704956
1733658926.5998096,699,0.4899839758872986
1733658935.6795194,749,0.4639090299606323
1733658944.7611196,799,0.4765932559967041
1733658953.8445203,849,0.47308993339538574
1733658963.3300421,899,0.4415832757949829
1733658972.6256511,949,0.6011695265769958
1733658981.8894517,999,0.33241045475006104
1733658990.9715168,1049,0.5493085980415344
1733659000.054751,1099,0.5390406250953674
1733659009.4800937,1149,0.38004881143569946
1733659018.4558766,1199,0.45880091190338135
1733659027.43225,1249,0.3508625626564026
1733659036.4014802,1299,0.4296107888221741
1733659056.6790771,1349,0.49692773818969727
1733659065.6454375,1399,0.5659725666046143
1733659074.6302269,1449,0.5929824113845825
1733659084.150453,1499,0.43282371759414673
1733659093.1930132,1549,0.6474311947822571
1733659102.1663158,1599,0.7345912456512451
1733659111.345649,1649,0.4381948709487915
1733659120.3845415,1699,0.6529470682144165
1733659129.3689282,1749,0.5987789630889893
1733659138.3597286,1799,0.4105064868927002
1733659147.3428907,1849,0.5067009925842285
1733659156.3276095,1899,0.6054303646087646
1733659165.30648,1949,0.4919661283493042
1733659174.2797644,1999,0.6040389537811279
1733659194.3349555,2049,0.39712727069854736
1733659203.511295,2099,0.4253619909286499
1733659212.5892148,2149,0.37204039096832275
1733659221.6704526,2199,0.5156971216201782
1733659230.7626426,2249,0.831373929977417
1733659239.839527,2299,0.35423874855041504
1733659248.9258335,2349,0.39364010095596313
1733659258.0088189,2399,0.26202982664108276
1733659267.0963469,2449,0.520147979259491
1733659276.1894364,2499,0.5069929957389832
1733659285.2685194,2549,0.4931190013885498
1733659294.351149,2599,0.6246147155761719
1733659303.4267523,2649,0.5073557496070862
1733659323.3244991,2699,0.7998815774917603
1733659332.4047372,2749,0.3274635672569275
1733659341.4864464,2799,0.23538225889205933
1733659350.569324,2849,0.3074401021003723
1733659359.6489933,2899,0.3750702142715454
1733659368.7324972,2949,0.3378315567970276
1733659377.8165572,2999,0.38136953115463257
1733659386.8968382,3049,0.66054767370224
1733659395.9818838,3099,0.5689635276794434
1733659405.0726488,3149,0.46118026971817017
1733659414.1575396,3199,0.7634526491165161
1733659423.2422328,3249,0.2876124382019043
1733659432.3231244,3299,0.11306494474411011
1733659452.3141313,3349,0.6276226043701172
1733659461.3935895,3399,0.34482628107070923
1733659470.4718196,3449,0.3240112066268921
1733659479.5543568,3499,0.4969707727432251
1733659488.6444404,3549,0.2922496199607849
1733659497.7255993,3599,0.46536022424697876
1733659506.9166255,3649,0.26191461086273193
1733659516.1652288,3699,0.43038731813430786
1733659525.1462505,3749,0.7369526624679565
1733659534.11679,3799,0.5931987166404724
1733659543.0877159,3849,0.40774035453796387
1733659552.0628247,3899,0.4533858299255371
1733659561.0343626,3949,0.2656380534172058
1733659570.003789,3999,0.2653347849845886
1733659589.685421,4049,0.26529693603515625
1733659598.9536455,4099,0.3958759307861328
1733659608.2905474,4149,0.40868431329727173
1733659617.3730578,4199,0.6212414503097534
1733659626.45042,4249,0.41508686542510986
1733659635.5353153,4299,0.680443525314331
1733659644.6157923,4349,0.4139103293418884
1733659653.691553,4399,0.7024936676025391
1733659662.7740786,4449,0.5636358261108398
1733659671.852075,4499,0.7720041275024414
1733659680.9356987,4549,0.4092128872871399
1733659690.0285048,4599,0.5030558109283447
1733659699.1188076,4649,0.43637537956237793
1733659719.018232,4699,0.45634764432907104
1733659728.0973608,4749,0.2500762939453125
1733659737.1881025,4799,0.3626618981361389
1733659746.2593536,4849,0.34042489528656006
1733659755.3423967,4899,0.4401649832725525
1733659764.4253466,4949,0.24963420629501343
1733659773.6149209,4999,0.47208380699157715
1733659783.131505,5049,0.2939499616622925
1733659792.396523,5099,0.26729846000671387
1733659801.6160462,5149,0.2612749934196472
1733659810.8255234,5199,0.645289421081543
1733659820.0348957,5249,0.39566516876220703
1733659829.2413924,5299,0.5743170380592346
1733659849.4685822,5349,0.24685829877853394
1733659858.6757584,5399,0.2002086639404297
1733659867.86311,5449,0.8799228668212891
1733659877.0809813,5499,0.4267297387123108
1733659886.2910388,5549,0.18565654754638672
1733659895.5049288,5599,0.7296773195266724
1733659904.7238314,5649,0.44775331020355225
1733659913.9474063,5699,0.6976457834243774
1733659923.1480708,5749,0.369509756565094
1733659932.3524237,5799,0.1541668176651001
1733659941.5668082,5849,0.7110586166381836
1733659950.7864683,5899,0.396229088306427
1733659959.9968832,5949,0.6037802696228027
1733659969.212493,5999,0.26736122369766235
1733659989.4420643,6049,0.536251425743103
1733659998.7252195,6099,0.3192419409751892
1733660007.826772,6149,0.5856512784957886
1733660016.8621988,6199,0.6010656356811523
1733660025.8681679,6249,0.3540297746658325
1733660034.9510212,6299,0.3073233366012573
1733660043.9755566,6349,0.6723930239677429
1733660052.9554281,6399,0.3670313358306885
1733660062.0122893,6449,0.4412117600440979
1733660071.3557582,6499,0.49046552181243896
1733660080.4009507,6549,0.5344973802566528
1733660089.6305,6599,0.40516388416290283
1733660099.069452,6649,0.5158361196517944
